codigo,tipo,lat,lon,dado1,dado2,Estatus,responsavel,data
1756410218571,buraco,-6.021,-64.612,Amazonas,funcionar,Não especificado,Não especificado,Não especificada
1756410218572,trinca,-19.035,-43.511,Pavimento,Asfalto,Não especificado,Não especificado,Não especificada
1756410218573,afundamento,-15.548,-56.086,TesteA,TesteB,Não especificado,Não especificado,Não especificada
1756410218574,ondulação,-4.07,-44.7,TesteX,TESTESSSS_RENOME,Não especificado,Não especificado,Não especificada
1756410218575,ondulação,-29.57,-52.537,TesteX,TESTESSSS_RENOMETTEUASASASS,Não especificado,Não especificado,Não especificada
1756410218576,ondulação,-7.489,-35.671,TesteX,Taaaaaaaaaaa,Não especificado,Não especificado,Não especificada
4752585,buraco,-15,-56,136364,aaa,aasdfa,adsvadv,2025-09-03
9827,ondulação,-15.5,-56.5,zcsc,avasdvadsv,asdvasdvasdv,sadvasdvasdv,2025-09-09
JAPIM,ondulação,-8.688,-61.066,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
ACAIZAL,ondulação,-8.688,-60.838,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
LAGO,ondulação,-8.708,-61.097,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
COBRAS,ondulação,-8.710,-60.438,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOM DIA,ondulação,-8.728,-61.069,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SERRA PRETA,ondulação,-8.728,-60.848,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BELO MONTE,ondulação,-8.733,-60.395,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOA VISTA,ondulação,-8.744,-61.159,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
FORTALEZA,ondulação,-8.749,-60.440,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTO ANTONIO,ondulação,-8.765,-61.162,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
CACHOEIRINHA,ondulação,-8.762,-60.402,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
AGUA AZUL,ondulação,-8.771,-60.857,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
NOVA VIDA,buraco,-8.788,-60.406,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MARCO,ondulação,-8.807,-61.195,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTA ROSA,ondulação,-8.805,-60.403,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
MORCEGUEIRA,buraco,-8.817,-60.849,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
BOCA DO JATUARANA,ondulação,-8.862,-61.201,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
TERRA PRETA,ondulação,-8.864,-61.267,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
SANTO ANTONIO,ondulação,-8.880,-60.395,62,62Certo,Em aprovação,Gilmar Acacio,01/09/2025
